Taxa,family_ID,SRN,PFLW,VLW,LFE,STD,HGT,FLT,LPB,UPB,RL,RD
PR1314_1002,P898012,1,6.250793654,-4.931142407,14.61084906,-0.020735524,31.04394888,0.811320755,1.25326863,-0.126935167,-7.51450243,-0.526238287
PR1314_1003,P898012,2,-2.915873016,-9.597809077,-12.88915094,1.145931146,61.04394888,17.31132075,-19.91339804,0.088097456,-40.26450246,-0.692904953
PR1314_1004,P898012,3,4.584126984,-2.097809077,-15.38915094,-0.187402194,42.37728218,-2.188679245,-14.49673137,-0.279716178,2.568830895,-0.442904953
PR1314_1005,P898012,4,-3.165873016,-1.764475742,-4.139150943,1.812597806,-75.45605112,-4.188679245,7.336601964,0.088687093,11.65216419,0.057095047
PR1314_1006,P898012,5,6.084126984,-0.347809077,-2.889150943,-0.520735524,48.71061553,17.31132075,-21.91339804,0.005011111,-52.37561356,-0.35957162
PR1314_1007,P898012,6,3.584126984,5.568857573,-0.389150943,4.979264476,-37.62271779,30.31132075,-22.99673137,-0.134838362,-31.18116913,2.695983936
PR1314_1008,P898012,7,13.08412698,1.902190923,7.110849057,3.812597811,5.821726669,16.81132075,-10.16339804,-0.343236759,-32.30616913,-1.35957162
PR1314_1009,P898012,8,0.084126984,4.652190923,-5.389150943,-0.687402189,-0.62271782,-4.188679245,-3.246731362,0.430508907,-16.46450246,1.44042838
PR1314_1010,P898012,9,11.08412698,16.65219092,-1.639150943,-1.187402189,-9.73382892,-5.188679245,29.41993529,-0.545531352,20.53549752,-0.092904954
PR1314_1011,P898012,10,20.33412698,-0.597809077,-0.389150943,0.312597806,-25.40049559,-5.188679245,6.353268624,-0.055397657,7.968830865,1.173761713
PR1314_1016,P898012,11,-3.165873016,10.15219092,3.360849057,5.812597806,-0.62271777,9.311320755,1.503268631,-0.069633255,26.23549754,-0.35957162
PR1314_1017,P898012,12,15.75079365,0.818857573,-10.38915094,-3.354068859,-45.51160669,-8.188679245,-13.3300647,-0.195186068,-12.09783581,0.723761713
PR1314_1018,P898012,13,4.334126984,-3.764475742,-5.389150943,0.979264476,19.15505999,3.811320755,-12.87173137,-0.261214572,-13.55616911,-0.442904953
PR1314_1019,P898012,14,4.834126984,16.15219092,-6.639150943,-4.854068859,5.93283778,-7.188679245,-4.846731368,-0.008831256,-12.59783578,0.54042838
PR1314_1020,P898012,15,-11.91587302,-13.51447574,-0.389150943,-1.020735524,34.04394888,9.311320755,6.294935296,-0.293927455,24.40216422,-0.942904953
PR1314_1021,P898012,16,1.167460319,1.568857588,9.610849057,-1.187402189,49.37728223,0.811320755,3.308824187,0.195100842,1.06883087,-0.276238287
PR1314_1022,P898012,17,3.250793649,-0.097809077,14.61084906,2.479264476,-38.28938445,-1.188679245,-9.63562026,0.234159777,-54.15339136,-0.35957162
PR1314_1023,P898012,18,-6.415873016,1.902190923,-2.889150943,2.812597811,-55.06716224,-6.188679245,1.461601964,0.128642402,-0.68116913,1.723761714
PR1314_1024,P898012,19,2.584126984,12.15219092,-2.889150943,-1.854068859,-17.12271779,-5.188679245,17.6421575,-0.061070833,39.48549757,-0.109571619
PR1314_1025,P898012,20,22.08412698,36.15219092,-2.889150943,-2.187402194,0.599504425,-4.188679245,8.25326863,0.091002332,42.53549756,-0.092904953
PR1314_1026,P898012,21,18.58412698,-2.597809077,-5.389150943,0.312597811,41.04394888,17.31132075,-26.4550647,-0.226168325,-54.93116911,-0.692904953
PR1314_1027,P898012,22,7.917460319,-0.181142427,-12.88915094,-5.854068859,-60.95605113,-8.188679245,-24.8800647,-0.137067644,-43.66450244,0.573761713
PR1314_1028,P898012,23,-14.91587302,-2.264475742,-17.88915094,-4.354068854,71.04394888,-4.188679245,-11.64673137,-0.224477685,20.40216422,0.01542838
PR1314_1029,P898012,24,0.584126984,1.318857588,12.11084906,4.145931146,13.04394888,16.81132075,-1.713398038,-0.263787546,5.568830885,-2.392904953
PR1314_1033,P898012,25,-14.49920635,-1.931142412,5.860849057,-1.854068859,39.82172666,-2.188679245,1.253268631,0.090914236,7.152164195,0.890428381
