Taxa,family_ID,HI15.PFLW,MN14.PFLW,PFLW_BLUP,meanPFLW,PFLW_BLUP.PTYPR,HI15.VLW,MN14.VLW,VLW_BLUP,meanVLW,vlw_BLUP.PTYPR,HI15.LFE,MN14.LFE,LFE_BLUP,meanLFE,HI14.STD,MN14.STD,STD_BLUP,meanSTD,HGT_BLUP,FLT_BLUP
PR1314_1002,P898012,81.66666667,NA,7.113729305,81.66666667,6.332834435,89.66666667,NA,-0.170553289,89.66666667,2.962349016,70,NA,7.225676121,70,20,NA,0.285171169,20,33.69051936,3.524719852
PR1314_1003,P898012,NA,72.5,3.209621173,72.5,3.226041567,NA,85,1.049361863,85,1.195534934,NA,42.5,-7.302294394,42.5,24.66666667,17.66666667,1.477595965,21.16666667,46.84064101,20.715726
PR1314_1004,P898012,NA,80,7.70003139,80,7.725152729,NA,92.5,4.469430174,92.5,5.11681437,NA,40,-8.755561492,40,21.33333333,18.33333333,0.436227344,19.83333333,31.97801453,5.016986481
PR1314_1005,P898012,63,81.5,2.837086404,72.25,3.641747817,90.66666667,95,4.048675747,92.83333334,2.250305786,55,47.5,-3.724569148,51.25,22.33333333,21.33333333,1.998280268,21.83333333,-36.12576489,1.651072819
PR1314_1006,P898012,NA,81.5,8.598113434,81.5,8.624974961,106,82.5,4.936050556,94.25,7.479765784,65,40,-2.805539987,52.5,20.66666667,18.33333333,0.175885193,19.5,37.02069138,20.715726
PR1314_1007,P898012,NA,79,7.101310028,79,7.125271241,105.3333333,95,8.642145342,100.1666667,11.54251609,NA,55,-0.0359589,55,25,25,4.471530734,25,-31.71895594,32.24319072
PR1314_1008,P898012,NA,88.5,12.78916297,88.5,12.82414538,103,90,6.345410549,96.5,9.024755342,65,60,4.546693305,62.5,25.66666667,22,3.560333196,23.83333334,27.77013013,20.27236197
PR1314_1009,P898012,87,64,5.271337266,75.5,4.787386656,126,72.5,8.067961652,99.25,6.656387116,52.5,47.5,-4.643598309,50,21,17.66666667,0.045714117,19.33333334,-2.259107108,1.651072819
PR1314_1010,P898012,106,67,13.51034019,86.5,14.32792835,142.5,80,15.58454828,111.25,14.89633142,55,52.5,-1.886510825,53.75,21.66666667,16,-0.344799114,18.83333334,14.48195153,0.764344764
PR1314_1011,P898012,117,74.5,20.43859264,95.75,21.26457185,93,95,4.779455001,94,3.051411482,50,60,-0.967481664,55,22.33333333,18.33333333,0.826740575,20.33333333,1.098857401,0.764344764
